downstream,upstream,gage
13881458,13881048,05593900
14733222,14733056,05399500
6087,3873,01030500
12788120,12788352,06280300
14836139,14835015,05556500
13399933,13400885,05393500
13454034,13454208,05525500
15513296,15513026,04256000
10115408,10114752,06911900
1318986,1320736,394220106431500
13624581,13624133,05408000
16808203,16807537,02298123
10300593,10301569,03300400
10294790,10295296,01169000
166174245,6730921,01078000
10116938,10118976,06910800
18070114,18069188,02481000
1017863,1015889,07346045
15078400,15077120,08014500
10339194,10337304,03346000
12900470,12901216,06224000
15547875,15547985,04224775
16955674,16954112,02310947
20453830,20454434,09505350
10510478,10509824,02082950
1057297,1055779,02221525
10606012,10603562,05444000
15612418,15610384,04197100
10525953,10527907,02108000
12981415,12981089,05362000
14156822,14156896,05123400
17356977,17356737,06784000
10634089,10633345,08194200
10645757,10644307,08196000
10645809,10644005,08195000
1520079,1519049,08070200
10646927,10644133,08198500
13803636,13803200,05585000
14882597,14882713,11253310
17399475,17398755,06803530
10833752,10833442,08178880
1520241,1518987,08070000
10655699,10653841,08202700
10977039,10976681,02092500
1326129,1326309,09081600
14883275,14883073,11224500
17405835,17399681,06803510
11049784,11050292,03049800
1631031,1633023,08171300
11654354,11653186,06464500
1638575,1638401,08176900
11136380,11137412,10329500
11468876,11462944,06470800
15550119,15551493,04221000
11673184,11673132,06453600
13324644,13324034,05413500
16213240,16213312,06350000
11817455,11818377,07056000
15569747,15569553,04216418
11730052,11729888,02196000
16807517,16811843,02297310
11834170,11830116,07060710
11930608,11931040,04040500
12036605,12033145,02149000
16247337,16249667,06339500
12068316,8020522,11381500
13313347,13312289,05412500
15662066,15661720,04185000
14396296,14397416,06406000
12105172,12104674,03182500
12069362,8020672,11383500
15613810,15614130,04196800
12103728,12103564,03180500
13872672,13873080,05593575
14172507,14175841,05120500
17611573,17609961,11124500
12120376,12120216,04124000
13324444,13323858,05414000
14268912,14267866,05057000
17688129,17688001,11162500
1215111,1214825,10234500
12186625,12189161,04045500
12502971,12503483,04127997
15894414,15895492,09484600
12222394,12220432,04056500
16131669,16132803,06440200
12570206,12568464,06468170
1827300,1827520,03285000
12576066,12576024,06468250
16806507,16802401,02296500
12664628,12662406,06477500
12770867,12771825,06289000
12804154,12804940,06278300
166743977,1997560,02315500
12901000,12900034,06221400
13698839,13701985,08079600
1623227,1623201,08175000
13753663,13752935,07301410
13756263,13755655,07301500
16233377,16233957,06344600
13771804,13771014,05592050
13781558,13781090,05595730
14267518,14267472,05056000
14269114,14267970,05057200
15085613,15083809,08013000
16248121,16246337,06339100
13802764,13804288,05584500
15380059,15379737,03144000
1722313,1722113,01031500
22592111,22592521,10259000
22035193,22034449,02415000
22152375,22152709,03456500
23844953,23844999,12040500
16949660,166758539,02312200
21327961,21325025,09447800
21464256,21459040,02427250
2602683,2602207,01539000
22130213,22130469,03498500
23436991,23437057,13331500
17826718,17826304,08324000
23123207,23124665,13011900
1799885,1800321,04024430
21639650,21638626,02469800
22165088,22164446,03439000
23864614,23865736,12013500
18075848,18070944,02481510
18094325,18093857,02479560
22957045,22958635,12358500
18106868,18106624,02479300
1813283,1815171,04027000
18156767,18155041,02472500
23004327,23005091,12414500
18154273,18153477,02472000
23630308,23623168,13340600
18227153,18224385,02464000
23871877,23871937,14301000
18260323,933070051,02231000
22274614,22274690,02408540
22440648,21735232,09497800
23850453,23852065,12020000
18354205,18353991,09210500
18880764,18880442,06878000
18578815,18578379,02450250
23073997,23074905,12451000
23123725,23124353,13011500
23856725,23857027,12035000
19017107,19016677,06853800
23184751,23185827,13083000
19104903,19105473,07295000
21517040,21516192,07167500
21609427,21609409,11264500
2210148,2209906,02363000
23838192,23839782,12041200
19112974,19110656,07292500
19138465,19146597,07290650
19110782,19108006,07291000
18927902,18928160,07375000
2323410,2323714,02372250
19158244,19157724,06814000
3539113,18865824,06876700
19506226,19504940,03604000
23850369,23851585,12025000
24282120,24282190,12082500
24274651,24274691,12167000
19439919,19440641,03159540
1919682,1919568,03237500
22000720,22000416,07359610
22440714,22440112,09497980
19735939,19737025,03500000
19735939,19737025,03500240
19621434,19619916,03574500
19743826,19743856,03479000
23551582,23551622,13313000
19751209,19751173,03471500
2188061,2187937,02361000
23551256,23553152,13310700
23880872,23881576,14305500
19761978,19761156,03488000
19751693,19752067,03473000
21860182,21860106,06352000
22226810,22227554,11532500
23886296,23886370,14306500
1997546,1996514,02314500
20026253,20025673,07226500
23588128,23589028,13337000
20091016,20089720,07376000
20177979,20178241,06450500
23914565,23916115,14325000
20179473,20179653,06447500
21677018,21675906,02422500
23597189,23597229,13338500
23894204,23895712,14316700
20415896,20415396,09513780
23648620,23648670,14020000
20435308,20435616,09505800
23735817,23735969,14137000
20439860,20440572,09510200
24158503,24158841,13235000
21861200,21861472,06353000
22253907,22252485,05487980
23901145,23901381,14309500
20476708,20483138,09512280
20876000,20871248,07184000
20487062,20488192,09494000
2376959,2377219,02371500
20920711,20920931,07180500
23780481,23780935,14182500
20986743,20985733,07151500
23286987,23287585,13161500
23759450,23759970,14154500
23949599,23949639,14400000
21014035,21013697,07149000
23785791,23787121,14185000
21166239,21165891,07145700
23786017,23786057,14185900
21028040,21028194,07148400
21195266,21194640,07142300
21954826,21955968,07362100
22290177,22290915,01333000
23970269,24538472,12144000
21609627,21609347,11266500
22592143,22593609,10258500
2277071,2277065,06885500
23970287,23971953,12143600
4869695,4869553,05507600
505374,504130,03281500
5640212,5641264,05503800
6884216,6884330,03170000
23970361,23970501,12141300
6269358,6267584,02177000
23980477,23982305,12092000
23980613,23980653,12095000
23997386,23997450,12048000
24013583,24013633,10396000
7388007,7388641,06921070
6084639,6083769,01144000
24243661,24242247,14216500
6873861,6873377,03028000
24241687,24241741,14222500
24255217,24255283,12175500
5054201,5053605,07014500
5570383,5569049,08109700
7651759,7650401,07057500
24264761,24266043,12189500
6364346,6364354,02215100
24264873,24264919,12186000
6960301,6959521,05466500
2430758,2430760,09430500
7875850,7875536,08190500
24373012,24374240,12411000
24432171,24432961,13023000
8440247,8441251,01634500
24422911,24424209,12488500
24537922,24538532,12117000
6096301,6098753,01181000
6335992,6336380,02212600
2507373,2509345,05514500
8005997,8005653,11451100
2613590,2613504,01423000
8111847,8112657,01518862
2580519,2578273,08101000
724684,724256,01013500
2663781,2665781,11468500
2678276,2679780,01022500
4725927,4725669,01580000
4995867,4996015,05488200
588176,587328,07335700
2806777,2809971,11176400
2705485,2703339,11478500
272607,271995,04057510
5801078,5800612,05495000
7026409,7030055,05062500
2828006,16595035,11274500
2821816,16594717,11274630
6892186,6892232,03161000
7524427,7520479,07067000
2965686,2964384,06188000
2927219,2926085,05501000
7139936,7139978,05129115
3060252,3061612,06037500
7817414,7816544,07261000
3133679,3132583,07315700
3192080,3191932,09223000
7842829,7841089,08164000
5124322,5123234,06903400
7371499,7373539,06919500
3322000,3319744,01047000
3643704,3649056,06888500
3586214,3585680,08165300
5290223,5288513,08189500
7069741,7069305,05087500
3645672,3645256,06889200
7374533,7375489,06918460
5525977,5526773,08086290
6859808,6857284,04059500
3646108,3645568,06889500
3773675,3773891,03070500
3729091,3728779,06892000
5524989,5526557,08086212
6887560,6888640,03164000
3775989,3775203,03069500
3775049,3775357,03066000
6460665,6459969,02350900
6908085,6908417,03173000
3855285,3855495,06043500
7387709,7387753,06921200
3808413,3808609,03076600
400540,398886,07197000
7171118,7171254,05131500
9370706,9370522,06479215
4084458,4084098,05291000
4153184,4152848,01439500
435122,435522,03213700
5670913,5670603,08104900
7016407,7016075,05458000
4198118,4198372,01532000
7571985,7571515,07071500
4153230,4152804,01440400
4369874,2962752,06191500
4352686,4354072,03050000
4547808,4546064,03186500
8209965,8209537,11148900
504706,505604,03281100
7359833,7359673,06917000
4506920,4509062,01644000
4505596,4506084,01638480
7518821,7519939,07066000
7523291,7523425,07068000
4994035,4995393,05489000
5769819,5772353,08150800
5802222,5801536,05495500
4710634,4711876,01568000
4867203,4868577,05508805
5481755,5481953,06431500
6383979,6382859,02216180
7846067,7845217,08164300
8127533,8125637,01543000
8127607,8127633,01543500
8203187,8206145,11151300
8152831,8150017,01550000
8151187,8152225,01552000
8233476,8232192,11528700
8242340,8242048,11523200
8295203,8295397,11473900
8258809,8257377,11522500
8315605,8316129,11482500
8320013,8320125,11480390
8336286,8328144,08025500
8420976,8422208,01606500
8364342,8364610,06847900
8422706,8423266,01605500
8441035,8441467,01632000
8465329,8465861,01664000
8449084,8448440,01639500
8457990,8456704,01669520
8467197,8468743,01667500
8524283,8524457,02013000
8522117,8523297,02016000
8522503,8523009,02018000
8525401,8525477,02017500
8524487,8524819,02014000
8548821,8548523,02027500
8546073,8548515,02027000
8544833,8543811,02028500
8626867,8632323,02056900
8625791,8624709,02059500
8648280,8647586,02065500
8648006,8650048,02064000
8628719,8628741,02053800
8718809,8718547,02046000
8673537,8672297,02074500
8741019,8744801,02051500
8746119,8745859,02053200
