gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
07056000,0.2790814227035508,505.46,1,0.06,0.02173,0,0.12,4.5139756,13.541927,0.6001955,2.7083855,-93.46888,35.933697,7.316594143619386e-05,0.04800408389557,0.0110603821926269,0.2667921339060132,174.39,5,0.05,1e-05,0,0.1,33.16245,99.48734,0.24899775,19.897469,-92.73855,35.996155,0.0002644544173772,0.0890791691995094,0.0475623817250913
07301500,0.4529767902223301,1008.47,1,0.06,0.00178,0,0.12,13.029455,39.088364,0.3760016,7.8176727,-101.15193,35.314854,0.0136813632479724,0.9730464919314707,0.1040504826852934,0.3661831055239145,511.71,5,0.05,1e-05,0,0.1,47.648598,142.94579,0.21220356,28.589159,-99.5035,35.16773,1.593919513933165e-05,0.0216093351028609,0.004272206459185
06353000,0.9576231389304994,909.69,1,0.06,0.00838,0,0.12,3.7968247,11.390474,0.6478019,2.2780948,-103.31232,46.27056,0.0004284535101478,0.1446902602315375,0.0416049228176274,0.915688605374203,573.57,5,0.05,1e-05,0,0.1,42.81995,128.45984,0.22244622,25.691969,-101.31195,46.09222,1.8845982264952168e-06,0.0074284503427038,0.0009605117784368
06784000,0.6773287611944128,869.01,1,0.06,0.00278,0,0.12,6.736647,20.209942,0.5030128,4.0419884,-100.43917,41.48656,0.0021361673230497,0.320057561227121,0.0177118849002994,0.606859603121815,588.49,6,0.05,1e-05,0,0.1,46.15829,138.47487,0.21519941,27.694975,-98.73654,41.033283,6.225413579196604e-05,0.0430454716401634,0.0043073811349795
07014500,0.4361093668998884,340.22,2,0.06,0.00268,0,0.12,6.8433456,20.530037,0.49953753,4.106007,-91.6579,37.6275,0.000129706033121,0.0695566925263532,0.0082686173299742,0.4172687279209477,177.57,7,0.045,0.00027,0,0.09,40.42911,121.28734,0.2281567,24.257467,-91.10683,38.175983,0.0002462219597224,0.1072152364663572,0.0298772046450043
07067000,0.2804357430626286,282.93,4,0.055,0.00115,0,0.11,15.885983,50.0,0.34451628,9.53159,-91.69711,37.34535,0.0001575896574161,0.0844749590271129,0.0113293915337049,0.2664524788774454,139.88,6,0.05,0.0033,0,0.1,42.048763,126.146286,0.22423695,25.229258,-91.00833,36.988995,8.016388139550986e-06,0.0145518381679912,0.0029446613113926
03164000,0.6792038534210338,1106.42,1,0.06,0.03252,0,0.12,3.240663,9.721989,0.6946871,1.9443978,-81.687225,36.175583,1.974428493680688e-05,0.0272810711429409,0.003179305552849,0.6554794563944554,670.48,5,0.05,1e-05,0,0.1,37.02299,111.06898,0.23718989,22.213795,-80.97516,36.68697,0.0002849378635921,0.1014474757064593,0.0142207373332279
05412500,0.5430608559265241,339.68,4,0.055,0.0051,0,0.11,16.75336,50.260082,0.33653012,10.052016,-92.226326,43.145657,5.975210494925689e-06,0.0179767250490798,0.0023142143675672,0.5252445326436269,195.1,6,0.05,1e-05,0,0.1,41.114056,123.34216,0.22647192,24.668432,-91.23847,42.73109,0.0010577763658855,0.2171921475047117,0.0704978282783641
07068000,0.2743678699703865,252.98,1,0.06,0.02578,0,0.12,2.401244,7.2037315,0.79292,1.4407463,-91.40474,37.11005,9.671571214819486e-05,0.0587589620077202,0.0173474826214443,0.2600510188044215,99.46,6,0.05,0.00171,0,0.1,45.08205,135.24615,0.217451,27.04923,-90.83857,36.616837,6.618312063681026e-05,0.055560261725218,0.008281991266678
06847900,0.6172990501930469,960.39,2,0.06,0.00021,0,0.12,12.608495,37.825485,0.38148913,7.565097,-101.08744,39.397823,2.437372891110633e-05,0.0328357826076384,0.0053223353827137,0.6022350608781994,710.36,4,0.055,0.00079,0,0.11,29.640604,88.921814,0.2616417,17.784363,-100.084305,39.76754,7.663229266367514e-05,0.0547321822822926,0.0180451204388757
