gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
06289000,1.225528490327006,2122.77,2,0.06,0.02654,0,0.12,4.7365913,14.209774,0.587583,2.8419547,-107.52835,44.844902,0.0003020222846505,0.1509969389790155,0.0062714354915248,1.219189689256695,1311.25,4,0.055,0.00956,0,0.11,20.24206,60.726177,0.30958512,12.145236,-107.59507,45.022217,0.0010316274127537,0.1954945151558589,0.0396445259222823
06468250,0.9488761050041824,461.63,2,0.06,1e-05,0,0.12,16.882675,50.648026,0.33539045,10.129605,-98.938126,47.455402,2.146991564456121e-05,0.0349277273483562,0.0011726834223653,0.944038326724686,439.15,4,0.055,1e-05,0,0.11,37.868347,113.60505,0.23483916,22.72101,-98.80582,47.372192,0.0014613766881379,0.2693393963402104,0.0552124921451718
04197100,0.1151118969466941,279.37,4,0.055,0.00023,0,0.11,13.85614,50.0,0.36593437,8.3136835,-82.835785,41.035892,0.0003301814583551,0.1093408212414236,0.0206916286751393,0.1101603654411522,249.87,4,0.055,0.00226,0,0.11,18.606565,55.8197,0.32130837,11.163939,-83.12275,41.017376,0.0001520383694935,0.080055090218341,0.0225671826756171
05408000,0.550439845172175,280.2,3,0.055,0.00346,0,0.11,10.40026,31.200779,0.41531053,6.2401557,-90.632095,43.727573,0.000488391119335,0.1427535976722985,0.0301139523531918,0.5458265996781766,241.05,5,0.05,0.00244,0,0.1,22.844404,70.0,0.29349938,13.706643,-90.64088,43.56755,3.750210701514047e-05,0.0414988741344623,0.0084358287182536
08079600,0.4094527930342717,707.42,2,0.06,0.00545,0,0.12,5.855726,17.567177,0.5350943,3.5134354,-101.285545,32.996048,0.0003398302455852,0.13213865625854,0.0104135891635992,0.4061015269809808,681.56,3,0.055,0.00164,0,0.11,26.93498,80.80494,0.27292722,16.160988,-101.180954,33.039707,0.0003344600003665,0.1096853553076063,0.0312345678422886
02479300,0.0122742388070481,46.55,1,0.06,0.00794,0,0.12,2.5124724,7.537417,0.7772373,1.5074834,-88.944046,30.807169,0.0001027288348011,0.0627717931123545,0.0218858380236641,0.0084699348319879,8.01,5,0.05,0.00081,0,0.1,27.39343,82.18029,0.27090257,16.436058,-88.757195,30.727331,0.0002052185359515,0.0902152705080329,0.0183050623997832
04221000,0.129445847709423,677.62,1,0.06,0.02013,0,0.12,4.375293,13.125877,0.6085155,2.6251755,-77.81102,41.88305,0.0006042481553029,0.1445987762929065,0.037318992164772,0.1213751830413672,448.57,4,0.055,0.0004,0,0.11,23.354916,70.06475,0.2906515,14.01295,-77.96738,42.1349,0.0005895408069832,0.1773658493341815,0.0152903951526957
01030500,0.0285213559839278,89.73,4,0.055,0.00459,0,0.11,21.546618,64.639854,0.30117118,12.927971,-68.22219,45.55074,8.296032865953273e-07,0.0060094264674491,0.0010163580471699,0.026910378398576,63.83,5,0.05,1e-05,0,0.1,39.768955,119.30687,0.22981991,23.861374,-68.30786,45.49649,4.890009359900579e-05,0.033023892089419,0.0077940556429252
01169000,0.051220164369555,491.81,1,0.06,0.0001,0,0.12,4.430137,13.290412,0.6051804,2.6580825,-72.80639,42.818813,0.0006361784157286,0.144751970615665,0.0052859959640933,0.0439660850386098,140.81,4,0.055,1e-05,0,0.11,15.666306,50.0,0.34663928,9.399783,-72.73471,42.63472,1.0865374695348305e-05,0.0223989054751096,0.0030852601861941
06910800,0.5523390170243722,435.58,1,0.06,0.00711,0,0.12,4.3738503,13.121551,0.608604,2.62431,-96.1855,38.666702,0.0005761099324896,0.1821935395761157,0.0696034817000497,0.5477604501237824,321.25,5,0.05,0.00031,0,0.1,19.548925,70.0,0.3143807,11.729355,-95.95026,38.553883,0.0004078545419862,0.1215945218960111,0.0561989753477978
05585000,0.4425931150115373,143.2,5,0.05,1e-05,0,0.1,36.30176,108.90528,0.23925747,21.781055,-90.73511,40.16126,0.0002130289417066,0.0893601411414233,0.0461661565335773,0.4385982451779827,136.84,5,0.05,1e-05,0,0.1,38.58927,115.767815,0.23289339,23.153563,-90.616234,40.027267,0.0001129040721992,0.0740611689693775,0.0145984026855998
05057000,0.248507197933259,405.23,3,0.055,0.00196,0,0.11,15.242608,45.727825,0.35085768,9.145565,-98.02641,47.542835,0.0002631271845311,0.1136822306845927,0.0488269644712609,0.2417958394878604,390.53,4,0.055,1e-05,0,0.11,47.445564,142.33669,0.21260372,28.467339,-98.03305,47.428486,4.731726217761263e-05,0.0336319762070491,0.0145594841677513
05057200,0.2391997741000964,441.47,2,0.06,0.00083,0,0.12,13.0649605,39.19488,0.37555045,7.8389764,-98.47896,47.52021,0.0013455189437407,0.2352034173564652,0.0561754646574936,0.2241257323563845,401.83,4,0.055,1e-05,0,0.11,31.01301,93.039024,0.25646898,18.607805,-98.12139,47.20312,4.626458701485683e-05,0.0430598650946538,0.0058604890463286
05556500,0.4871001363109002,264.9,1,0.06,0.00583,0,0.12,3.985393,11.95618,0.6340962,2.3912358,-89.24537,41.59548,0.000457252779811,0.1768594262839157,0.0441933094704249,0.4792717297975463,170.37,5,0.05,0.0041,0,0.1,20.31841,70.0,0.30907133,12.191047,-89.49205,41.356358,6.062212122052585e-05,0.0502259354801443,0.0078330945354443
06339500,0.9654157656146184,661.82,1,0.06,0.01353,0,0.12,3.017794,9.053382,0.7168712,1.8106763,-101.90402,47.00279,0.0002209906050925,0.0937323816957549,0.0308450305925645,0.9591293250784868,567.15,6,0.05,1e-05,0,0.1,37.67065,113.011955,0.23538208,22.60239,-102.056625,47.163525,4.590963252475096e-06,0.0114271683456451,0.0020061335443315
03300400,0.4941919550522463,219.52,3,0.055,0.00117,0,0.11,12.851773,38.55532,0.37828618,7.711064,-85.109314,37.68946,0.0002371059332795,0.127958394939936,0.0181249759451496,0.4877103543322209,167.77,5,0.05,0.00253,0,0.1,26.674671,80.02401,0.27409905,16.004803,-85.30045,37.828117,9.219735137715358e-05,0.0530217209909369,0.0129659695219674
06911900,0.5472022040258767,345.99,4,0.055,0.00135,0,0.11,10.828132,50.0,0.4079888,6.496879,-95.98839,38.8017,0.0004415251145397,0.1284572792001579,0.0362379294157471,0.5448299339513856,312.73,5,0.05,0.00095,0,0.1,16.958294,70.0,0.33472985,10.174976,-95.83078,38.70811,0.0001469793750943,0.0793100133575036,0.0152077724875394
03346000,0.4536136450499506,190.92,2,0.06,0.002,0,0.12,7.9274654,23.782396,0.4681575,4.7564793,-87.943985,39.43263,0.0003861308380156,0.1285446625672708,0.0280934994262667,0.4369238186956283,139.85,4,0.055,3e-05,0,0.11,24.072214,72.216644,0.28679827,14.443329,-87.95153,38.979324,0.0015089869074513,0.2733112606039549,0.0668098956056752
07346045,0.1175771985976961,71.88,3,0.055,0.00049,0,0.11,12.590824,37.772472,0.38172525,7.5544944,-94.45709,33.004738,3.586529527851408e-05,0.0364836380133156,0.0091646004434394,0.1056077454146652,54.78,4,0.055,0.0003,0,0.11,25.778553,77.335655,0.27826262,15.467132,-94.32359,32.792645,0.0021624861729828,0.2927972499613929,0.0473154966160968
09081600,0.5389565988479816,2760.71,2,0.06,0.05404,0,0.12,9.18706,27.56118,0.43867013,5.512236,-107.09941,39.057426,6.013000960164422e-05,0.0507684089939832,0.0099560908790027,0.5298189744486499,2071.0,3,0.055,0.00021,0,0.11,20.825916,62.477745,0.3057256,12.495549,-107.23496,39.247173,2.0660054057998822e-06,0.0079638658200288,0.0014471754745031
02310947,0.1056539792443853,38.45,1,0.06,1e-05,0,0.12,2.8857358,8.6572075,0.73116356,1.7314414,-81.85523,28.252111,0.0001506136610205,0.090808236544802,0.0147835755681733,0.0991890051285021,25.59,4,0.055,0.00036,0,0.11,22.88242,68.647255,0.29328418,13.729451,-82.0742,28.299149,0.0007769996826065,0.2368552812009952,0.0344501702474306
01031500,0.0337281322567665,212.11,1,0.06,0.0173,0,0.12,2.9619353,8.885805,0.72280455,1.7771611,-69.538246,45.22173,0.0002026051355648,0.0952247342600902,0.0165821258768714,0.029042391877415,109.84,5,0.05,0.00207,0,0.1,23.462976,70.38893,0.2900602,14.0777855,-69.30621,45.172623,0.0002151972660167,0.0856383306785151,0.0171178706411558
05444000,0.4959612085111808,240.13,1,0.06,0.0083,0,0.12,3.268831,9.806494,0.6920397,1.9612987,-89.723724,42.002712,0.0002568244950126,0.1091294820167868,0.0271410371986729,0.491918943179691,202.12,5,0.05,1e-05,0,0.1,18.36984,70.0,0.32312858,11.021904,-89.700714,41.88945,5.867814553975742e-05,0.0448944832955657,0.015536566968723
