gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
02371500,0.0407396290196928,130.32,1,0.06,0.00356,0,0.12,4.1546187,12.463856,0.622569,2.4927711,-85.988205,31.982622,0.000456535965012,0.133247094655824,0.0303711231821525,0.0321028774295257,70.03,4,0.055,1e-05,0,0.11,27.645779,82.93734,0.26980886,16.587467,-86.2531,31.565523,0.0002374203538451,0.1051391033289267,0.0251632082958994
05458000,0.5529334404453399,411.04,1,0.06,0.00608,0,0.12,3.116446,9.349338,0.70676965,1.8698676,-92.73229,43.61706,0.0002290229849465,0.0934981124025339,0.0187909937521254,0.5346491165842893,297.85,4,0.055,0.00017,0,0.11,23.373247,70.11974,0.29055092,14.023949,-92.50357,43.02469,6.639730476434353e-05,0.0661619558351283,0.0089491405369293
08190000,0.1311870430679649,668.31,2,0.06,0.0051,0,0.12,7.4708114,22.412434,0.48057327,4.4824867,-100.14271,29.995832,0.0001220903180338,0.0651683469296371,0.0089295320741301,0.108446479531641,335.96,5,0.05,1e-05,0,0.1,32.012154,96.03646,0.25290614,19.207293,-100.00032,29.402067,0.0001386267811254,0.0793262357352432,0.0086889184462555
01013500,0.0320450708891766,472.47,1,0.06,0.07059,0,0.12,2.52371,7.57113,0.77570856,1.514226,-68.81921,46.970882,0.0001305378043774,0.0672956014453959,0.0207926888971467,0.0199497574982006,155.87,5,0.05,0.00082,0,0.1,33.982452,101.94735,0.24632889,20.389471,-68.580925,47.249184,0.0002291623390871,0.1051663561888692,0.0176469148886929
11478500,0.0184953877794977,1171.99,2,0.06,0.09368,0,0.12,4.2443967,12.73319,0.6167246,2.546638,-123.55719,40.3184,6.770451892969087e-06,0.0143193975621862,0.0031154594659545,0.0090377938882401,106.42,4,0.055,0.00414,0,0.11,21.847782,65.54335,0.2993325,13.108669,-123.925575,40.47793,0.0007550109724706,0.1643073647803053,0.0517253040838356
05487980,0.4956722122429999,281.32,2,0.06,0.00377,0,0.12,4.2850595,12.855178,0.6141358,2.5710356,-93.56203,40.97649,3.447154359401956e-05,0.0292106572919481,0.009817913790168,0.4896927989053182,240.68,4,0.055,0.00413,0,0.11,24.4999,73.4997,0.28457862,14.699941,-93.25917,41.251244,2.0981120982320876e-05,0.0233584028332405,0.0048315698775752
11274500,0.1013508561919716,619.1,1,0.06,0.03662,0,0.12,4.738651,14.215952,0.58747035,2.8431904,-121.43325,37.280922,0.000715731953732,0.169108361114399,0.0480286950443741,0.0937614240957881,52.22,4,0.055,0.00299,0,0.11,17.998474,53.995426,0.32605317,10.799085,-121.08992,37.337048,0.00030497339799,0.1428089709480905,0.0381999178635722
06043500,1.4354530682347992,2654.06,1,0.06,0.1355,0,0.12,3.16583,9.49749,0.7018844,1.8994979,-111.12385,45.185333,0.0002462696791724,0.0990946566355683,0.0265274724915871,1.4260847203877307,1587.15,5,0.05,0.36,0,0.1,32.993923,98.98177,0.24955803,19.796354,-111.27025,45.49986,3.004582167041682e-06,0.0140740029819656,0.0002244547170257
02018000,0.0907347436709391,562.31,1,0.06,0.04987,0,0.12,3.3714793,10.114438,0.68266386,2.0228877,-80.176155,37.400913,0.0002633900793674,0.088142201267104,0.0279895334151818,0.0819631539956955,302.21,4,0.055,1e-05,0,0.11,24.197363,72.59209,0.28614292,14.518417,-79.91056,37.66907,3.7960488340435387e-05,0.0593948041407883,0.0032267529586561
14182500,0.1172960831635766,925.54,3,0.055,0.01434,0,0.11,11.288425,33.865276,0.40056393,6.7730556,-121.99503,44.55063,0.0008138345503523,0.1631286028323485,0.0357765413937062,0.0924995259946489,188.92,5,0.05,0.00376,0,0.1,30.619566,91.8587,0.25791767,18.37174,-122.635254,44.787548,0.0020919475316419,0.3670779979492324,0.0540580792450785
03050000,0.7172391209251686,806.89,1,0.06,0.02466,0,0.12,5.883577,17.65073,0.53397536,3.5301461,-80.01112,38.537346,0.0002784209722765,0.1087468604498828,0.0213457851799221,0.7106515781700532,592.53,4,0.055,1e-05,0,0.11,20.13588,60.40764,0.31030428,12.081528,-79.884575,38.816257,0.000326602526069,0.1260908817285844,0.0118704746389021
02108000,0.0363078103130028,46.3,1,0.06,0.00654,0,0.12,2.9963944,8.989183,0.71912545,1.7978367,-77.76206,35.11433,0.0001809128038538,0.0865906496954837,0.0257256445493324,0.0307127983347109,7.94,5,0.05,0.00129,0,0.1,29.76382,89.291466,0.2611633,17.858292,-77.83304,34.826233,7.892687808972671e-06,0.0130691092673436,0.0035160544809607
02363000,0.0362537966244315,102.89,1,0.06,0.01227,0,0.12,3.1220083,9.366025,0.7062139,1.873205,-85.66656,31.864414,2.401554289333077e-06,0.0131854218917666,0.0002255288569164,0.0315126862440267,76.33,5,0.05,1e-05,0,0.1,27.910189,83.73057,0.2686782,16.746113,-85.78689,31.589771,4.276044229508811e-06,0.0101182432391984,0.0019451711502097
