gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
06803530,0.5833844425727822,429.56,1,0.06,0.01576,0,0.12,2.7690856,8.307257,0.74459565,1.6614515,-96.77415,41.137043,0.0001555967589643,0.0668683021792738,0.0203178712082511,0.5806066253274891,341.4,5,0.05,1e-05,0,0.1,17.157326,70.0,0.33301115,10.294395,-96.542465,41.01491,3.227695519499423e-05,0.0383715114030215,0.0035633893510417
07301500,0.3852125172325413,589.96,5,0.05,0.00166,0,0.1,43.457,130.371,0.22100164,26.0742,-99.89225,35.282104,0.0001605024739736,0.0823639660218299,0.013337357295465,0.3661831055239145,511.71,5,0.05,1e-05,0,0.1,47.648598,142.94579,0.21220356,28.589159,-99.5035,35.16773,1.593919513933165e-05,0.0216093351028609,0.004272206459185
08176900,0.013574219219682,78.25,3,0.055,0.00172,0,0.11,14.649006,43.947018,0.35706046,8.789403,-97.542145,28.947638,0.000210814887181,0.1025837076533191,0.0196316804654201,0.0086917463096519,33.14,5,0.05,1e-05,0,0.1,24.980854,74.942566,0.2821483,14.988513,-97.21505,28.859663,0.0001262556244676,0.0720442282922218,0.0134507540782049
02315500,0.3295995235957439,34.43,4,0.055,1e-05,0,0.11,27.363035,82.0891,0.27103528,16.417822,-82.400635,30.80753,0.0007161848601624,0.1644943890488666,0.0305922095571603,0.2974678292952896,16.97,5,0.05,0.00012,0,0.1,46.70004,140.10011,0.21409446,28.020023,-82.767166,30.328428,0.0010181952282072,0.2455181459837211,0.0463421249642091
06878000,0.5446326996593553,370.51,3,0.055,0.00195,0,0.11,7.164917,30.0,0.48951936,4.29895,-97.20089,39.185368,8.97925168598416e-05,0.0573721511925485,0.0125650382762036,0.5418154282105079,338.48,4,0.055,0.00035,0,0.11,23.771101,71.3133,0.2883954,14.262661,-97.03756,39.008938,0.0002115413385747,0.0887455854468685,0.0425257703561911
04256000,0.1116213246935513,612.28,1,0.06,1e-05,0,0.12,2.887352,8.662056,0.73098296,1.7324113,-74.97904,43.773468,0.0001834107350665,0.0825167922898373,0.0103883541141218,0.1037583176055046,228.54,4,0.055,1e-05,0,0.11,15.592891,50.0,0.34735835,9.355734,-75.368225,43.731194,1.4377162150814234e-05,0.0217177772159928,0.0049558675810971
04027000,0.3054839517462206,276.93,1,0.06,0.01223,0,0.12,4.7752223,14.325666,0.58548117,2.8651333,-90.90868,46.40419,0.0005644332973503,0.2009871291863786,0.0298681257027405,0.2991677785815443,204.36,5,0.05,0.00426,0,0.1,29.652214,88.95664,0.2615965,17.791328,-90.69317,46.502087,3.491256556745181e-05,0.0401021270958785,0.0046170003835381
01030500,0.034605511824139,137.76,1,0.06,0.00828,0,0.12,4.726889,14.180668,0.5881148,2.8361335,-68.3295,45.6513,0.0007165069058169,0.1675996205194292,0.0377439320971111,0.026910378398576,63.83,5,0.05,1e-05,0,0.1,39.768955,119.30687,0.22981991,23.861374,-68.30786,45.49649,4.890009359900579e-05,0.033023892089419,0.0077940556429252
06911900,0.5487600108013173,429.58,1,0.06,0.00824,0,0.12,4.5534506,13.660352,0.59789443,2.7320704,-96.085014,38.85159,0.0006501391220755,0.2043580217543704,0.0667769105618994,0.5448299339513856,312.73,5,0.05,0.00095,0,0.1,16.958294,70.0,0.33472985,10.174976,-95.83078,38.70811,0.0001469793750943,0.0793100133575036,0.0152077724875394
06910800,0.5514281999936765,364.89,3,0.055,0.00056,0,0.11,11.514603,34.543808,0.39707345,6.9087615,-96.10143,38.72207,4.353741378733722e-05,0.0433893487006007,0.0093979925671229,0.5477604501237824,321.25,5,0.05,0.00031,0,0.1,19.548925,70.0,0.3143807,11.729355,-95.95026,38.553883,0.0004078545419862,0.1215945218960111,0.0561989753477978
03300400,0.4942646037718332,258.11,1,0.06,0.01634,0,0.12,3.2076268,9.62288,0.6978346,1.924576,-85.05325,37.738026,0.0002285128502085,0.0892001617561116,0.0201816803854587,0.4877103543322209,167.77,5,0.05,0.00253,0,0.1,26.674671,80.02401,0.27409905,16.004803,-85.30045,37.828117,9.219735137715358e-05,0.0530217209909369,0.0129659695219674
05584500,0.4525331696982587,170.59,4,0.055,0.00057,0,0.11,16.356256,50.0,0.34011057,9.813753,-91.05006,40.504223,5.507628518513346e-05,0.0401759000087648,0.0118155254764553,0.4479134139970359,154.73,5,0.05,7e-05,0,0.1,30.678509,92.03553,0.25769892,18.407106,-90.87687,40.32928,0.0004498047946942,0.1617490823005025,0.0242354337915065
06784000,0.6163028099741904,646.68,2,0.06,0.00439,0,0.12,5.653283,16.959848,0.54346496,3.3919697,-99.074295,41.04717,0.0001067046582417,0.0798262079009323,0.0229731444450289,0.606859603121815,588.49,6,0.05,1e-05,0,0.1,46.15829,138.47487,0.21519941,27.694975,-98.73654,41.033283,6.225413579196604e-05,0.0430454716401634,0.0043073811349795
