downstream,upstream,gage
15662066,15662242,04185000
16247337,16248099,06339500
18070114,18068640,02481000
18156767,18155267,02472500
23551582,23553610,13313000
16949660,16954144,02312200
1919682,1916482,03237500
23551256,23553444,13310700
6087,3211,01030500
10116938,10118656,06910800
1057297,1055035,02221525
10833752,10833322,08178880
1638575,1638167,08176900
17356977,17340293,06784000
18075848,18068672,02481510
20179473,20178657,06447500
10525953,10524391,02108000
21609427,21610807,11264500
10300593,10301553,03300400
11136380,11135490,10329500
11730052,11728612,02196000
11817455,11815893,07056000
23004327,23005029,12414500
166743977,1996730,02315500
18106868,18108736,02479300
19112974,19110496,07292500
22226810,22227908,11532500
11654354,11653696,06464500
21014035,21014721,07149000
11673184,11667744,06453600
18154273,18152485,02472000
19751693,19751201,03473000
23436991,23437409,13331500
12069362,8020396,11383500
12120376,12117984,04124000
21028040,21025416,07148400
12222394,12220428,04056500
17826718,17825158,08324000
22957045,22958657,12358500
23588128,23588228,13337000
12186625,12188499,04045500
12105172,12103706,03182500
12570206,12568432,06468170
23123207,23124609,13011900
17405835,17399937,06803510
2210148,2209472,02363000
2376959,2376673,02371500
12788120,12788612,06280300
21327961,21324261,09447800
12981415,12980259,05362000
12576066,12568828,06468250
21195266,21195772,07142300
12900470,12901208,06224000
1318986,1319938,394220106431500
22130213,22130793,03498500
13313347,13309185,05412500
13324644,13323552,05413500
18094325,18092321,02479560
21677018,21675456,02422500
23630308,23624800,13340600
13698839,13698937,08079600
21464256,21457570,02427250
13624581,13623817,05408000
2188061,2185865,02361000
13756263,13754817,07301500
16808203,16807717,02298123
18354205,18352813,09210500
20177979,20177665,06450500
21609627,21609441,11266500
13803636,13803040,05585000
14156822,14156458,05123400
2323410,2322944,02372250
13802764,13802240,05584500
21860182,21858848,06352000
14267518,14278284,05056000
22440648,20487044,09497800
14268912,14267714,05057000
19506226,19505464,03604000
20026253,20025601,07226500
23780481,23781505,14182500
14836139,14834403,05556500
21954826,21957562,07362100
15613810,15614594,04196800
23838192,23838272,12041200
1520079,1518751,08070200
15085613,15083363,08013000
21861200,21861858,06353000
1813283,1815427,04027000
23123725,23123587,13011500
15894414,15895684,09484600
23073997,23074593,12451000
16213240,16210308,06350000
23844953,23845601,12040500
16131669,16130977,06440200
1631031,1628105,08171300
1722313,1721729,01031500
20487062,20487656,09494000
20439860,20440480,09510200
18880764,18880292,06878000
22253907,22256225,05487980
19017107,19016673,06853800
22274614,22270656,02408540
19110782,19107712,07291000
20091016,20089384,07376000
20986743,20985921,07151500
23871877,23872417,14301000
19138465,19139841,07290650
22440714,22437688,09497980
19621434,19619010,03574500
23597189,23599297,13338500
9027877,9027617,04074950
5290223,5288269,08189500
4867203,4869305,05508805
8524283,8524981,02013000
4547808,25226393,03186500
6084639,6083331,01144000
8741019,8743585,02051500
724684,725312,01013500
7842829,7840963,08164000
8258809,8257853,11522500
5802222,5803198,05495500
6884216,6885250,03170000
8746119,8745515,02053200
7026409,7030881,05062500
7171118,7171328,05131500
6960301,6959755,05466500
7817414,7816352,07261000
8849829,8849601,02102908
23894204,23895648,14316700
23880872,23881640,14305500
23850369,23852099,12025000
7359833,7362085,06917000
8151187,8152665,01552000
23901145,23901307,14309500
23949599,23950433,14400000
7518821,7520385,07066000
8759151,8757827,02081500
8203187,8206723,11151300
24158503,24158629,13235000
24013583,24014013,10396000
23980613,23980693,12095000
7523291,7523137,07068000
8315605,8317809,11482500
24264761,24264839,12189500
8364342,8364736,06847900
24264873,24265003,12186000
9752546,9750264,02140991
24274651,24275461,12167000
8524487,8525121,02014000
2430758,2430496,09430500
24422911,24424417,12488500
24373012,24374458,12411000
6887560,6889314,03164000
7139936,7140070,05129115
7374533,7376063,06918460
8209965,8205473,11148900
24432171,24432997,13023000
2507373,2509077,05514500
8127533,8125439,01543000
8971062,8970500,03010655
2705485,2705701,11478500
2678276,2680932,01022500
2613590,2612808,01423000
2806777,2810049,11176400
7571985,7571427,07071500
8420976,8423048,01606500
2828006,16595023,11274500
8233476,8234656,11528700
8522117,8521185,02016000
3643704,3649608,06888500
2927219,2925097,05501000
942110019,7869635,08190000
3539113,3536673,06876700
9841714,9842046,04213000
3645672,3645052,06889200
8465329,8464705,01664000
8295203,8294785,11473900
3646108,3645226,06889500
7651759,7649569,07057500
3729091,3728329,06892000
3808413,3809513,03076600
3775989,3774979,03069500
8994318,8990256,04122200
3855285,3855953,06043500
4198118,4198682,01532000
4352686,4354234,03050000
400540,400928,07197000
435122,437572,03213700
4369874,2962568,06191500
8127607,8125185,01543500
8525401,8526787,02017500
4710634,4710616,01568000
4994035,4999169,05489000
7875850,7874706,08190500
8522503,8525447,02018000
4546478,4546688,03187500
4506920,4508576,01644000
505374,504800,03281500
7016407,7016545,05458000
6908085,6910083,03173000
7388007,7389891,06921070
8625791,8623411,02059500
5801078,5797792,05495000
5570383,5568965,08109700
5054201,5055745,07014500
5124322,5123530,06903400
6460665,6459525,02350900
6892186,6892112,03161000
7371499,7372769,06919500
7524427,7518305,07067000
8134648,8133728,01544500
