basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01013500,22.67940341600964,0.12206892605964836,0.5325009069165457,451.56853542396703,21.250142009501186,15.87705340814491,0.09964039512657463,0.35047568854651884,False,False
01022500,10.991757631823756,-0.0028515594385303267,0.49928812511713805,121.16325764328238,11.00741830054997,8.319458377114303,0.3187928085825813,0.5279897296857963,False,True
01030500,99.94551761307223,-0.03834889174088785,0.4905931482347619,10372.177654354378,101.84388864509435,56.37582584645464,-0.16702055476002609,0.4167962663431244,False,True
01031500,26.878528724023617,0.1824432526036356,0.5501891489399118,590.648210413599,24.303255140281085,13.353819955215002,0.0837496767503294,0.49522279728826074,False,False
01047000,32.39637096101579,0.08092540450241059,0.5210844864218078,964.5916283053298,31.057875463484777,14.167146611522814,-0.06309779740142951,0.40034587171031233,False,False
01052500,3.5046616758806803,-0.3559237988636843,0.42446194587546626,16.654342142845667,4.080973185754308,2.876389201754762,0.24491936695191097,0.31859509701594124,False,True
01054200,12.764782617661401,0.17177340146722253,0.5469781485525583,134.95097302000158,11.616840061738028,4.173365920809274,0.08544112868344356,0.45752569200558535,False,False
01055000,0.13454440773655302,0.13089746342219588,0.5350161269541317,0.015732665898011363,0.12542992425259358,0.05856374797797433,0.04519781752303231,0.3753132378459642,False,False
01057000,5.736393024294093,0.19043985744169267,0.5526204830010386,26.63955195351169,5.1613517564211495,3.2233581526114166,0.25240871908520046,0.4988018907651549,False,False
01073000,0.5719339811571569,0.08978282023571271,0.523500683897836,0.297739757052393,0.5456553463976991,0.3508539155010781,0.15390224714292122,0.3708785427890266,False,False
01123000,2.246446498355376,0.18848581476793624,0.5520243827800306,4.095324083567034,2.0236907084747497,0.8532044269748427,0.18538830542745532,0.4490609909323088,False,False
01134500,3.826007438809261,-0.2243437455426074,0.44957080127741655,17.922351358005415,4.233479816652657,3.05970461555903,0.1323968502645989,0.4606938869734574,False,True
01137500,0.1846225802767279,0.2219682684157498,0.5624196589050672,0.02651959836799712,0.16284839074426594,0.08721469390476189,0.23708371906940084,0.4747322027510094,False,False
01139000,4.5943351729462725,-0.24724929596644674,0.4449884584655937,26.326832972909422,5.130968034680144,3.3961020701637423,0.05443244972621142,0.47170114797565593,False,True
01139800,0.9456430164745946,0.21662793488616572,0.5607354850745456,0.7005231953106901,0.8369726371337896,0.3687118102842736,0.14059697975704233,0.5139497177991584,False,False
01142500,1.873326094975751,0.18630336449953178,0.55136012298113,2.8555468233012355,1.6898363303294304,0.8404287560602649,0.2899708004635141,0.44561511818750477,False,False
01144000,30.787593389274758,0.1758424051792099,0.5481982493394397,781.1991274571795,27.949939668220743,16.7712500412187,0.14049428771210803,0.46263308271304665,False,False
01162500,1.4017285489034685,0.04325180370092452,0.5110519595170011,1.8798599243239469,1.3710798387854541,0.8309634337712085,0.28676277206497347,0.39656350621689834,False,False
01169000,7.445569587563618,0.18733696716672743,0.5516745152776441,45.05119948836117,6.7120190321810895,3.569377200026143,0.13878267509194442,0.4547067375131873,False,False
01181000,8.413099761785636,0.21501954046142646,0.5602302224969483,55.56111128868165,7.453932605590263,3.421402665598336,0.200993605590281,0.4720056872666821,False,False
01333000,3.4480524377803854,0.17651263017371255,0.5483997402708986,9.79049537190418,3.128976729204642,1.5283245971561734,0.18704848875790847,0.42341076169796465,False,False
01411300,0.18439511412586798,-0.29948747316372515,0.43487951627071086,0.04418459883653112,0.21020132929296884,0.1215682937619212,0.17347123892982597,0.21346407022225838,False,True
01413500,0.560647662258042,0.0649938668222968,0.5167942276016363,0.29389655193370146,0.542122266590943,0.18193824728283373,-0.1006075365734147,0.2940604066774247,False,False
01423000,21.4791491272772,0.12722504843259397,0.5339669879517862,402.65808167318187,20.066342010271377,9.882905399299146,0.07202809554427214,0.4082352650655686,False,False
01434025,0.49329044847219516,0.04752944549621074,0.5121716164647333,0.23176986675903086,0.4814248298114991,0.12897115271632673,-0.15104933321153458,0.2721134171131574,False,False
01439500,8.310973873234664,0.16428930937880015,0.5447481485558068,57.72444843888483,7.597660721490848,3.765770342357335,0.15559071683236447,0.5209287487334975,False,False
01440400,0.01145941999381803,-2.6239412472073202,0.2162657236624624,0.0004758898277820099,0.02181489921549054,0.013158561566767514,-0.1639425124566496,0.255250507915575,False,True
01451800,5.505915556685523,0.11530709944400364,0.5305904212325486,26.81955916162267,5.178760388512165,1.8208902378581429,0.019653638004174856,0.4029236286613144,False,False
01466500,0.12680552144331358,-0.435437861590263,0.4106037833160038,0.023081324442171633,0.1519253910384029,0.10217134233386714,-0.0966815425796308,0.36628165608400604,False,True
01484100,0.04503032874455597,-1.376645609870704,0.296151896153026,0.004819196807088799,0.06942043508282557,0.04608614673240439,0.06152823984626743,0.1536520925303213,False,True
01485500,4.510602232307596,0.14916280053107334,0.540296034835985,17.310735892385964,4.160617248965106,1.6043061619007497,0.06905690026429423,0.40494833147754405,False,False
01486000,0.2897382795267029,0.3064299189076716,0.5904686266983498,0.05822400886361992,0.24129651647634684,0.08408169206430864,0.27917062677848514,0.5758931428418214,False,False
01487000,2.7631728307974814,-0.1122235698560945,0.4734347321330809,8.491964974852097,2.9140976261704234,1.6641503085816998,0.2795082674819779,0.31635184487271045,False,True
01491000,7.795501135523845,0.15137530690027357,0.5409426822722062,51.570785083393936,7.181280184158945,3.690914677845832,0.20362679567286257,0.40259521790040237,False,False
01510000,11.508916541359378,0.16359046454247173,0.5445408448888592,110.7867588077301,10.525528908692907,5.670862788283517,0.10555616581868632,0.4342093407721915,False,False
01516500,1.1714554748390007,0.1417889697324104,0.538152009492698,1.1777298020465545,1.0852326027384886,0.365315280316831,0.02634957895356771,0.47260905379986257,False,False
01518862,0.46423966744978795,0.04313677562418761,0.5110219189279177,0.20622169700093373,0.4541163914691186,0.12213627615414903,-0.20166292862293766,0.37070669245797994,False,False
01532000,18.367043078383105,0.14076216371135286,0.5378548029100834,289.86239883055384,17.025345777121647,6.699316598698283,0.09706469096498571,0.37633722792416063,False,False
01539000,0.5279809454295035,0.08436533708218319,0.5220202052915667,0.25524587014067945,0.5052186359791961,0.1380084377575393,-0.06614048469053468,0.34673834433426715,False,False
01542810,0.5535799228850836,0.043478081122899304,0.5111110641550729,0.29312684127793254,0.5414118961363267,0.23623796037655806,-0.10212497992907532,0.4183017779788988,False,False
01543000,19.658447540859715,0.23607857603202498,0.5669186769955324,295.22091755772385,17.181993992483058,9.305936016979272,0.19390903657226444,0.5175031090326014,False,False
01543500,46.88806974720484,0.09378278530753614,0.5245991864370678,1992.3104672294132,44.635305165635565,23.68914904517838,-0.012380924224615564,0.4437857428015164,False,False
01544500,0.12012171793265579,0.03995144470388612,0.5101914426037906,0.013852758649724281,0.11769774275543385,0.03157490282544004,-0.1661793523695032,0.21418383286253068,False,False
01545600,2.002935115977121,0.12105315453726351,0.5322130332823362,3.526114197611853,1.8777950361026767,1.0292149235300014,0.14988242631958115,0.4105722530514839,False,False
01547700,3.301186362324797,0.11113790213218766,0.5294192737144873,9.686669279346395,3.112341446458983,1.3133531159291456,0.06873403244191889,0.3379911126568885,False,False
01549500,3.022075556423599,0.1862622798501966,0.5513476336134235,7.431818318038216,2.7261361517793303,1.1576478986386554,0.1291863760722537,0.4544548985164192,False,False
01550000,16.159303613366163,0.1336798393674168,0.5358137478732766,226.2162001056327,15.040485368020299,5.797060526338504,0.03259109329713161,0.43739630211180275,False,False
01552000,41.44400482856814,0.10802824550168966,0.5285491168789502,1532.0556236874224,39.14148213452606,15.867249681093217,-0.011458651982103607,0.40504681181120394,False,False
01552500,1.007593641894773,0.06974953082288782,0.5180674818985079,0.9444320884501873,0.9718189586801583,0.40167107455411055,-0.016701141906358963,0.37458468673686685,False,False
