gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
04185000,0.1316510006533612,281.97,2,0.06,1e-05,0,0.12,3.802513,11.407539,0.64737415,2.2815077,-84.42084,41.833157,3.355691934236545e-05,0.0345022019032693,0.0059654505523819,0.1207628380773064,210.85,4,0.055,0.00024,0,0.11,26.147303,78.44191,0.27652442,15.688381,-84.43072,41.50203,5.958982833575381e-05,0.0454143808781813,0.0048514522773231
06339500,0.9798415289533298,670.68,2,0.06,0.00283,0,0.12,7.22195,21.66585,0.48781008,4.33317,-102.763916,47.239685,0.0006490913279791,0.1795609743507445,0.0475508629004614,0.9591293250784868,567.15,6,0.05,1e-05,0,0.1,37.67065,113.011955,0.23538208,22.60239,-102.056625,47.163525,4.590963252475096e-06,0.0114271683456451,0.0020061335443315
02481000,0.0059310161220081,77.92,1,0.06,0.00716,0,0.12,3.508681,10.526043,0.6707555,2.1052086,-89.263596,30.769924,0.0002742439358468,0.1048935068158274,0.0280065655179427,0.0028087315286944,6.57,5,0.05,0.00116,0,0.1,18.310064,70.0,0.32359353,10.986038,-89.107086,30.553501,1.4976471030391192e-05,0.0192097202513951,0.0033310838122765
02472500,0.0326339378333825,103.76,2,0.06,0.00616,0,0.12,4.0230703,12.069211,0.63146937,2.4138422,-89.73091,31.542437,3.983351439899147e-05,0.0414203829517957,0.0066992527107506,0.02840093566076,49.34,5,0.05,0.00029,0,0.1,29.500608,88.50182,0.26218876,17.700365,-89.395065,31.420298,0.0004795393346755,0.1748654340139711,0.0323148393144492
13313000,0.4293709837311371,2376.16,1,0.06,0.13375,0,0.12,2.9817932,8.945379,0.7206769,1.7890759,-115.432526,44.61769,0.0002044798554898,0.0729566385074626,0.0153417049249314,0.4178195657880137,1423.52,5,0.05,0.00819,0,0.1,24.693077,74.07923,0.28359428,14.815846,-115.510185,44.96261,0.000126149302661,0.071790863266115,0.0170669131992262
02312200,0.111465072343322,32.75,3,0.055,0.00057,0,0.11,12.204657,36.613968,0.3870075,7.3227935,-81.82761,28.363031,0.0001644357963827,0.0751295860425759,0.0140739754820068,0.05880913988015,14.68,4,0.055,0.00046,0,0.11,31.914532,95.7436,0.25324714,19.14872,-82.2035,28.572304,4.13347857293664e-05,0.0341077977619875,0.00668541278664
03237500,0.5572028211547326,300.69,2,0.06,0.00839,0,0.12,5.4611273,16.38338,0.5518198,3.2766764,-83.63855,39.05081,0.0002021987112147,0.0855567044349326,0.0192994116728935,0.5502622908239198,158.83,5,0.05,0.00324,0,0.1,25.594643,76.78393,0.27914295,15.356786,-83.425285,38.800526,6.243485897911184e-05,0.0470257020357096,0.0090783348612653
13310700,0.418533858677066,1592.06,3,0.055,0.08362,0,0.11,5.9660263,30.0,0.53070706,3.5796158,-115.6718,44.759182,7.948000308827922e-05,0.0769897234510195,0.0097232402358413,0.4140062397765081,1148.17,5,0.05,0.01436,0,0.1,25.007053,75.021164,0.28201786,15.004232,-115.71777,45.00789,0.0002577502555885,0.1106766097586126,0.0226755821416862
01030500,0.0357521882018676,165.87,1,0.06,0.01553,0,0.12,5.6317215,16.895164,0.5443819,3.3790329,-68.06967,45.51546,0.0008610199964675,0.1950430773274074,0.0472337374824247,0.026910378398576,63.83,5,0.05,1e-05,0,0.1,39.768955,119.30687,0.22981991,23.861374,-68.30786,45.49649,4.890009359900579e-05,0.033023892089419,0.0077940556429252
06910800,0.5534600036803573,446.3,1,0.06,0.01025,0,0.12,2.8765428,8.629628,0.7321935,1.7259257,-96.12988,38.84754,0.0001683838341135,0.0709204019886717,0.0185308492081382,0.5477604501237824,321.25,5,0.05,0.00031,0,0.1,19.548925,70.0,0.3143807,11.729355,-95.95026,38.553883,0.0004078545419862,0.1215945218960111,0.0561989753477978
