downstream,upstream,gage
7139936,7139468,05129115
2210148,2208964,02363000
22130213,22130857,03498500
2323410,2322198,02372250
23286987,23287999,13161500
2828006,16595245,11274500
8134648,8133856,01544500
10525953,10524033,02108000
3855285,3856097,06043500
23436991,23437447,13331500
23780481,23780643,14182500
8151187,24841124,01552000
11654354,11652736,06464500
435122,436160,03213700
11817455,11818433,07056000
7571985,7570309,07071500
12120376,12116398,04124000
11673184,11666850,06453600
12576066,12568480,06468250
2507373,2508421,05514500
3729091,3728199,06892000
8233476,8235168,11528700
12186625,12188651,04045500
23871877,23872131,14301000
2927219,2928137,05501000
8295203,8297217,11473900
13313347,13311457,05412500
6087,2917,01030500
12570206,12575104,06468170
12788120,12789216,06280300
13698839,13698737,08079600
22440648,20487942,09497800
9027877,9026881,04074950
2678276,2679248,01022500
7171118,7171946,05131500
13756263,13754401,07301500
23551256,23552010,13310700
8420976,8423682,01606500
8522503,8526889,02018000
14267518,14276320,05056000
14268912,14267600,05057000
13803636,13802882,05585000
4369874,2964608,06191500
15085613,15083047,08013000
4994035,5001829,05489000
15662066,15661294,04185000
23844953,23845141,12040500
4352686,4354398,03050000
8315605,8319329,11482500
16247337,16246247,06339500
505374,505250,03281500
16213240,16212572,06350000
17356977,17356037,06784000
18075848,18068288,02481510
23588128,23589954,13337000
3539113,3536537,06876700
8364342,8365824,06847900
18154273,18151043,02472000
5801078,5798672,05495000
18094325,18092039,02479560
18106868,18109154,02479300
6084639,6083719,01144000
18156767,18153473,02472500
18880764,18880034,06878000
23597189,23597533,13338500
23630308,23623396,13340600
23838192,23838354,12041200
7651759,7647681,07057500
19112974,19108604,07292500
19138465,19137925,07290650
19506226,19506150,03604000
19621434,19616672,03574500
2188061,2185249,02361000
724684,725284,01013500
22253907,22256077,05487980
22957045,22957675,12358500
24432171,24432309,13023000
2705485,2706267,11478500
942110019,7869021,08190000
20026253,20025345,07226500
20091016,20089184,07376000
20177979,20182407,06450500
20986743,20984177,07151500
7388007,7389225,06921070
6460665,6457409,02350900
21327961,21323681,09447800
2376959,2375681,02371500
3646108,3645036,06889500
21014035,21012097,07149000
6887560,6890494,03164000
21028040,21025792,07148400
21861200,21862918,06353000
8258809,8258435,11522500
21954826,21957090,07362100
6960301,6959559,05466500
23004327,23005447,12414500
7518821,7520419,07066000
5054201,5057155,07014500
23894204,23896002,14316700
23980613,23980745,12095000
7523291,7524417,07068000
24158503,24158681,13235000
4710634,4710768,01568000
7016407,7014499,05458000
2430758,2429956,09430500
24264761,24264901,12189500
7524427,7520745,07067000
24373012,24373350,12411000
3645672,3641032,06889200
3775989,3776833,03069500
8522117,8520465,02016000
8524487,8525427,02014000
8525401,8527121,02017500
8741019,8744069,02051500
9841714,9842210,04213000
