gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
08171300,0.075463512412138,509.65,2,0.06,0.00484,0,0.12,7.9866223,23.959867,0.46662447,4.7919736,-98.64158,30.107197,0.0007771870978187,0.1900611264203492,0.0347388756857749,0.0519266844307227,187.92,3,0.055,1e-05,0,0.11,26.30784,78.92352,0.2757787,15.784704,-97.90647,29.958681,9.87523983034268e-05,0.0796745383889071,0.0051929895923987
394220106431500,0.5465282810527634,3642.93,1,0.06,0.03284,0,0.12,1.8509736,5.552921,0.8894022,1.1105841,-106.211555,39.650845,4.656258713152576e-05,0.0333558574176215,0.0029281873637798,0.5338105985685847,2087.68,5,0.05,0.00961,0,0.1,29.7465,89.239494,0.26123038,17.8479,-106.741585,39.693897,0.0005155260852726,0.1143473796642632,0.022908840492228
04185000,0.1359471642498223,357.85,1,0.06,0.02086,0,0.12,3.6794014,11.038204,0.65684265,2.207641,-84.42135,41.945778,0.0003633896922446,0.1300993721334621,0.0219945527679493,0.1207628380773064,210.85,4,0.055,0.00024,0,0.11,26.147303,78.44191,0.27652442,15.688381,-84.43072,41.50203,5.958982833575381e-05,0.0454143808781813,0.0048514522773231
03281500,0.5900374738555519,261.57,2,0.06,0.0008,0,0.12,7.719818,23.159454,0.47367182,4.631891,-83.74445,37.077457,4.167851224679793e-05,0.0373396727317426,0.0064035244330507,0.5806337475328881,201.17,5,0.05,1e-05,0,0.1,31.670214,95.01064,0.2541072,19.002129,-83.68684,37.490704,0.0011061408941121,0.2603652192736342,0.0513192364857228
06453600,0.738332353143443,669.94,1,0.06,0.00738,0,0.12,2.8014245,8.404274,0.74079126,1.6808548,-99.262085,42.996082,0.0001657006702409,0.1092841665550096,0.0144785314308105,0.6979792081081049,373.83,3,0.055,0.00102,0,0.11,33.08488,99.25465,0.24925512,19.85093,-98.13934,42.805996,0.0008285100261071,0.1837750859341508,0.0373723229862673
12041200,0.0139797198697598,197.02,3,0.055,0.00509,0,0.11,16.063643,48.190926,0.34283006,9.638185,-123.899605,47.86388,3.0939436410164824e-05,0.0413214272541607,0.001471002461745,0.0050728869005364,43.93,4,0.055,0.00196,0,0.11,22.302366,66.9071,0.29662532,13.38142,-124.27843,47.787254,0.0009069363633684,0.1497870077915925,0.0187065942990453
05057000,0.2696513267010477,443.51,3,0.055,0.00165,0,0.11,12.16348,36.49044,0.38758495,7.298088,-98.57905,47.74445,0.0009738380466909,0.1839936764891155,0.0388813562638438,0.2417958394878604,390.53,4,0.055,1e-05,0,0.11,47.445564,142.33669,0.21260372,28.467339,-98.03305,47.428486,4.731726217761263e-05,0.0336319762070491,0.0145594841677513
06919500,0.5338095401740975,349.58,1,0.06,0.00799,0,0.12,2.282403,6.8472095,0.81087637,1.3694419,-93.97189,37.342663,8.355359433492668e-05,0.046121465497183,0.0110162319757483,0.514013846908465,228.59,5,0.05,1e-05,0,0.1,26.177246,78.53174,0.27638483,15.706347,-93.86232,37.839176,0.0001542982972959,0.0741089377517316,0.0268376772530397
05412500,0.532744555484249,301.43,2,0.06,0.01956,0,0.12,2.6515896,10.0,0.75897574,1.5909537,-91.70314,42.865406,3.410300370558562e-05,0.0386044374463444,0.0044918977704266,0.5252445326436269,195.1,6,0.05,1e-05,0,0.1,41.114056,123.34216,0.22647192,24.668432,-91.23847,42.73109,0.0010577763658855,0.2171921475047117,0.0704978282783641
07290650,0.0986692645169826,51.58,2,0.06,0.00801,0,0.12,3.3307474,10.0,0.68633443,1.9984484,-90.6126,32.06473,7.048182539836344e-06,0.0154007807859207,0.0032923779603668,0.0963429415567808,26.7,6,0.05,1e-05,0,0.1,30.559381,91.67815,0.25814164,18.335629,-90.88509,32.011898,5.497849794010492e-06,0.0103917813454808,0.0015030706356119
07148400,0.4187862931315877,536.51,3,0.055,0.00176,0,0.11,9.327484,30.0,0.4357442,5.596491,-99.088806,37.02654,7.300374972674293e-05,0.0537084243796653,0.0098713293628109,0.4006651881956495,393.47,5,0.05,0.00136,0,0.1,35.440876,106.322624,0.24180429,21.264524,-98.56821,36.81792,0.0052303682118306,0.5023564163189148,0.122879454193038
05584500,0.4569154332352758,188.44,3,0.055,0.00056,0,0.11,11.310638,33.931915,0.40021667,6.7863827,-90.53903,40.537476,0.0007779914409039,0.1664641419535458,0.0332973862813083,0.4479134139970359,154.73,5,0.05,7e-05,0,0.1,30.678509,92.03553,0.25769892,18.407106,-90.87687,40.32928,0.0004498047946942,0.1617490823005025,0.0242354337915065
07056000,0.2708922353732796,239.99,2,0.06,0.0084,0,0.12,7.4386935,22.31608,0.48148757,4.4632163,-92.908775,35.90124,0.0002042289263772,0.1032307476412827,0.0169915122891066,0.2667921339060132,174.39,5,0.05,1e-05,0,0.1,33.16245,99.48734,0.24899775,19.897469,-92.73855,35.996155,0.0002644544173772,0.0890791691995094,0.0475623817250913
02371500,0.0387414538901915,102.2,2,0.06,0.00314,0,0.12,4.789377,14.368131,0.5847171,2.8736262,-85.96609,31.852852,5.814336787013354e-05,0.0439433484676332,0.0077331835905143,0.0321028774295257,70.03,4,0.055,1e-05,0,0.11,27.645779,82.93734,0.26980886,16.587467,-86.2531,31.565523,0.0002374203538451,0.1051391033289267,0.0251632082958994
01606500,0.1140863125218299,741.85,1,0.06,0.10163,0,0.12,2.7070029,8.121009,0.75208175,1.6242018,-79.482315,38.66446,5.095389423967758e-05,0.0459715850050718,0.0083124708849349,0.1047610032883741,292.18,5,0.05,0.00031,0,0.1,30.519915,91.559746,0.25828886,18.311949,-79.161865,39.001358,4.931880855775421e-05,0.0644214618794346,0.0098787812227365
12414500,0.7173372877568558,1285.29,2,0.06,0.00773,0,0.12,4.5117126,13.535138,0.6003283,2.7070277,-115.86923,47.124157,0.0001767581706499,0.1021829448136015,0.0100397955302411,0.7078927454892638,666.33,5,0.05,1e-05,0,0.1,35.74383,107.2315,0.24089795,21.4463,-116.209236,47.277252,7.76781385497363e-05,0.059189738459177,0.0102000089663361
06889200,0.516490331448923,353.93,3,0.055,0.00047,0,0.11,10.741418,32.224255,0.4094386,6.444851,-95.96964,39.52066,9.898564686235838e-05,0.0691409572937824,0.0099778179132094,0.5115236373789878,287.12,4,0.055,1e-05,0,0.11,18.905539,56.716618,0.3190567,11.343324,-95.87447,39.197456,2.805974167061244e-05,0.0360632969980501,0.0081852902435067
