downstream,upstream,gage
18880764,18879906,06878000
23286987,23287691,13161500
20026253,20025475,07226500
20986743,20984005,07151500
21028040,21025888,07148400
22253907,22256041,05487980
3539113,3537157,06876700
10525953,10524321,02108000
23850369,23852097,12025000
11673184,11667710,06453600
19138465,19137635,07290650
23588128,23588286,13337000
21014035,21013261,07149000
21327961,21323841,09447800
23630308,23623300,13340600
11817455,11818129,07056000
11730052,11729192,02196000
11654354,11653984,06464500
19621434,19617056,03574500
2323410,2322752,02372250
3645672,3641082,06889200
12105172,12103520,03182500
12120376,12117632,04124000
20177979,20177795,06450500
23123725,23124001,13011500
6087,3105,01030500
12186625,12188621,04045500
2376959,2376377,02371500
12222394,12223952,04056500
12570206,12568422,06468170
23980613,23980713,12095000
23597189,23599361,13338500
12576066,12568872,06468250
24373012,24374656,12411000
12788120,12789060,06280300
13313347,13311745,05412500
23838192,23838326,12041200
13698839,13698831,08079600
1318986,1320320,394220106431500
6084639,6084065,01144000
13756263,13756033,07301500
20179473,16101645,06447500
22130213,22130619,03498500
3646108,3645098,06889500
13802764,13801664,05584500
14156822,1090007522,05123400
2188061,2185731,02361000
24264761,24265729,12189500
3775989,3776647,03069500
13803636,13802756,05585000
23844953,23845115,12040500
14267518,14278190,05056000
24264873,24265923,12186000
14268912,14267942,05057000
23871877,23872571,14301000
23901145,23902849,14309500
15085613,15083969,08013000
20091016,20089236,07376000
22440648,21733504,09497800
400540,401058,07197000
15662066,15661348,04185000
15894414,15895768,09484600
2507373,2512139,05514500
16131669,940140129,06440200
23894204,23894512,14316700
16213240,16210882,06350000
16247337,16250531,06339500
2927219,2925539,05501000
1631031,1628099,08171300
21954826,21957252,07362100
22957045,22958401,12358500
3808413,3809731,03076600
16949660,16954116,02312200
166743977,1996704,02315500
1722313,1720901,01031500
20487062,20485988,09494000
23780481,23780961,14182500
17356977,17340609,06784000
23949599,23950245,14400000
18075848,18068610,02481510
18094325,18092705,02479560
2210148,2210784,02363000
23004327,23006947,12414500
3855285,3856005,06043500
18106868,18108802,02479300
24158503,24159873,13235000
1813283,1815377,04027000
4369874,2965792,06191500
2828006,16595413,11274500
18156767,18154593,02472500
6908085,6910375,03173000
18154273,18156059,02472000
2705485,2705953,11478500
19112974,19108416,07292500
24274651,24274773,12167000
1919682,1922242,03237500
19506226,19505220,03604000
21464256,21457680,02427250
21195266,21194736,07142300
2430758,2432010,09430500
21609627,21609729,11266500
3729091,3728219,06892000
21860182,21859396,06352000
4547808,4546306,03186500
21677018,21675302,02422500
24432171,24432937,13023000
21861200,21862600,06353000
2678276,2674900,01022500
23436991,23438267,13331500
23551256,23551440,13310700
435122,436304,03213700
4352686,4354290,03050000
4710634,4710852,01568000
4867203,4869509,05508805
505374,505080,03281500
4994035,4999715,05489000
5801078,5798892,05495000
5054201,5053979,07014500
6460665,6457629,02350900
6884216,6884096,03170000
6887560,6891430,03164000
6960301,6959941,05466500
7139936,7144160,05129115
7016407,7014695,05458000
724684,24893824,01013500
7026409,7030795,05062500
7371499,7375037,06919500
7171118,7171424,05131500
7518821,7519929,07066000
7359833,7362109,06917000
7388007,7389921,06921070
7523291,7521441,07068000
7524427,7518635,07067000
7571985,7570567,07071500
7651759,7649153,07057500
8127607,8127265,01543500
8134648,8133924,01544500
8233476,8232326,11528700
8258809,8258273,11522500
8151187,8150753,01552000
8295203,8297315,11473900
8315605,8317887,11482500
8364342,8364668,06847900
8420976,8422696,01606500
8522117,8520551,02016000
8465329,8464653,01664000
8522503,8526629,02018000
8524487,8525163,02014000
8525401,8526977,02017500
8849829,8849625,02102908
8741019,8744065,02051500
942110019,7870401,08190000
9027877,9029153,04074950
9841714,9842132,04213000
