gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
12358500,0.8661577327542582,1609.15,2,0.06,0.05718,0,0.12,5.614741,16.844223,0.5451076,3.3688445,-113.35635,48.282597,5.442142046350151e-05,0.050293355264383,0.0087806230382767,0.8484035803825012,966.45,5,0.05,1e-05,0,0.1,36.822857,110.468575,0.23775777,22.093714,-114.02213,48.487225,2.2774119100611256e-05,0.0313363000093328,0.0045811219158692
05412500,0.5381144988870541,294.56,5,0.05,0.00157,0,0.1,24.550512,73.651535,0.28431967,14.730307,-91.88737,43.01944,0.0008098972287127,0.1769291789378635,0.0499412986946589,0.5252445326436269,195.1,6,0.05,1e-05,0,0.1,41.114056,123.34216,0.22647192,24.668432,-91.23847,42.73109,0.0010577763658855,0.2171921475047117,0.0704978282783641
03164000,0.665834928440093,770.03,4,0.055,0.00192,0,0.11,23.548079,70.64423,0.28959724,14.128846,-81.336975,36.499695,0.0002561873229005,0.1034521374143112,0.0169455336289724,0.6554794563944554,670.48,5,0.05,1e-05,0,0.1,37.02299,111.06898,0.23718989,22.213795,-80.97516,36.68697,0.0002849378635921,0.1014474757064593,0.0142207373332279
07151500,0.3909648581368506,477.5,3,0.055,0.00204,0,0.11,18.034628,54.10388,0.32576466,10.820776,-98.27205,37.414997,9.58104266644984e-05,0.0556622989641389,0.0113118667377505,0.379640681883988,338.12,5,0.05,0.00103,0,0.1,33.63058,100.89175,0.24746263,20.178349,-97.57717,37.12241,0.0002791425677096,0.122592764440733,0.0283122032824798
13337000,0.3999926825270014,907.96,3,0.055,0.02665,0,0.11,9.183985,30.0,0.43873495,5.5103908,-114.983826,46.469955,0.000229185358578,0.1102859621239625,0.010439186377941,0.3869159473304367,447.68,5,0.05,0.00484,0,0.1,37.35575,112.06725,0.23625542,22.41345,-115.592125,46.147263,0.0001213602946488,0.0759170843025724,0.0080698124665209
03213700,0.5998195838623938,448.11,4,0.055,0.00768,0,0.11,12.934205,50.0,0.3772207,7.760523,-81.50695,37.362823,9.254679070533184e-05,0.059051694909887,0.0095198823147332,0.5809875225188306,192.72,6,0.05,1e-05,0,0.1,34.626934,103.880806,0.2442956,20.776161,-82.30117,37.68092,0.0001089304982263,0.0649617210096799,0.0167530174558984
01013500,0.0422028942164378,261.27,1,0.06,1e-05,0,0.12,2.7057817,8.117346,0.7522315,1.6234691,-68.841446,46.89129,0.0001599982221055,0.0941391153402361,0.0132205880772977,0.0199497574982006,155.87,5,0.05,0.00082,0,0.1,33.982452,101.94735,0.24632889,20.389471,-68.580925,47.249184,0.0002291623390871,0.1051663561888692,0.0176469148886929
02371500,0.040854036918723,133.52,2,0.06,0.00252,0,0.12,6.095189,18.285568,0.52571577,3.6571136,-85.89708,32.01075,8.4443972812885e-05,0.052469009758501,0.0104988281157775,0.0321028774295257,70.03,4,0.055,1e-05,0,0.11,27.645779,82.93734,0.26980886,16.587467,-86.2531,31.565523,0.0002374203538451,0.1051391033289267,0.0251632082958994
07301500,0.3954634756423341,691.88,1,0.06,0.003,0,0.12,6.105778,18.317335,0.5253134,3.663467,-100.32286,35.342613,8.031110897058556e-06,0.0166983835976401,0.002983957272761,0.3661831055239145,511.71,5,0.05,1e-05,0,0.1,47.648598,142.94579,0.21220356,28.589159,-99.5035,35.16773,1.593919513933165e-05,0.0216093351028609,0.004272206459185
05131500,0.1705160019273986,423.26,1,0.06,0.00157,0,0.12,5.6767163,17.03015,0.54247403,3.4060297,-93.329025,47.75884,0.0003061081415523,0.1580252112675243,0.0031401244025697,0.1322846148259926,332.07,5,0.05,0.0002,0,0.1,42.263832,126.791504,0.22373281,25.358301,-93.55597,48.40203,0.0003400646332284,0.1360947390516491,0.0299593672286194
06353000,0.9391594680129896,751.4,2,0.06,0.00416,0,0.12,4.818243,14.454729,0.58316904,2.8909457,-102.385056,46.132206,6.82076292064421e-05,0.0409566097605242,0.0128625742547647,0.915688605374203,573.57,5,0.05,1e-05,0,0.1,42.81995,128.45984,0.22244622,25.691969,-101.31195,46.09222,1.8845982264952168e-06,0.0074284503427038,0.0009605117784368
05495000,0.4641277343609635,237.78,2,0.06,0.00258,0,0.12,3.9557981,11.867394,0.63618475,2.373479,-92.42379,40.771286,1.3055520487789697e-05,0.0186078246474114,0.00518272645108,0.4505132139047108,156.59,5,0.05,0.00131,0,0.1,25.904026,77.71208,0.27766716,15.542416,-91.58296,40.365986,0.0007091505743548,0.2141542648957113,0.0475465111780789
02363000,0.0391302637253904,135.63,2,0.06,0.0014,0,0.12,4.92361,14.770831,0.57762986,2.9541662,-85.535416,32.084,0.0001234523737132,0.0684282297482488,0.0101538430572774,0.0315126862440267,76.33,5,0.05,1e-05,0,0.1,27.910189,83.73057,0.2686782,16.746113,-85.78689,31.589771,4.276044229508811e-06,0.0101182432391984,0.0019451711502097
05514500,0.4437153628660383,237.71,1,0.06,0.00276,0,0.12,4.1176305,12.352892,0.6250301,2.4705784,-91.56484,39.2123,0.0004860218677123,0.1554099582932632,0.0459149046944408,0.4346849823111108,140.19,6,0.05,1e-05,0,0.1,34.499233,103.497696,0.24469414,20.69954,-90.94505,39.01455,0.0001236527398337,0.0751404704947895,0.0181054552893835
13338500,0.3966907437450596,1537.82,1,0.06,0.17119,0,0.12,1.6601698,4.9805093,0.9331314,0.99610186,-115.63457,45.99027,3.741501335701149e-05,0.0354408526479022,0.0061937032414909,0.3809533525673447,404.48,5,0.05,0.00754,0,0.1,37.245827,111.73748,0.23656279,22.347496,-115.97752,46.091377,0.0001555836120528,0.0891282752608522,0.0078005688401098
06043500,1.4424076460010289,2287.9,3,0.055,0.03749,0,0.11,7.2188597,30.0,0.48790216,4.331316,-111.110214,44.93246,0.0001971780990256,0.0847673026146178,0.0165776333772576,1.4260847203877307,1587.15,5,0.05,0.36,0,0.1,32.993923,98.98177,0.24955803,19.796354,-111.27025,45.49986,3.004582167041682e-06,0.0140740029819656,0.0002244547170257
02018000,0.0951437448337177,990.73,1,0.06,0.13699,0,0.12,3.2393713,9.718114,0.6948093,1.9436227,-80.47168,37.402176,0.0002341913165551,0.1113583723382507,0.0319525741795574,0.0819631539956955,302.21,4,0.055,1e-05,0,0.11,24.197363,72.59209,0.28614292,14.518417,-79.91056,37.66907,3.7960488340435387e-05,0.0593948041407883,0.0032267529586561
02350900,0.1476432818947812,139.46,3,0.055,0.00358,0,0.11,7.316229,30.0,0.48502675,4.3897376,-84.60241,32.28604,3.1017107575350705e-06,0.0095294273071563,0.0019729262443565,0.135157842490731,66.7,5,0.05,4e-05,0,0.1,28.888968,86.6669,0.26462343,17.333382,-84.25073,31.754372,9.560829221847636e-05,0.057295070758327,0.0186925176900757
